,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.6139063040415446,0.179017702738444,0.13983050847457626,0.13983080753118243,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",10,0.1393507521773555,0.1400716275368086,0.1397934868943606,0.13984902661899087,0.14035087719298245,0.13957176843774782,0.01872530025219517,0.0051833744383311744,0.00040910842843567576,0.0002044728687770778
1,0.6345227559407552,0.1776261329650879,0.15360169491525424,0.17373272286244915,0.2,rbf,"{'C': 0.2, 'kernel': 'rbf'}",9,0.1543942992874109,0.17508953442101075,0.15488482922954727,0.17719507350019864,0.15151515151515152,0.168913560666138,0.01947499728130834,0.012251958926767994,0.0014848990790423497,0.0035144052990762273
2,0.6297489802042643,0.17926764488220215,0.1851165254237288,0.25715277331703146,0.30000000000000004,rbf,"{'C': 0.30000000000000004, 'kernel': 'rbf'}",8,0.19081551860649248,0.2558694787107043,0.181890389197776,0.2630115216527612,0.18261562998405104,0.25257731958762886,0.02739111237300961,0.006414509185745293,0.004051022104253792,0.0043553244784573205
3,0.633986234664917,0.17186824480692545,0.2166313559322034,0.40255413437622795,0.4,rbf,"{'C': 0.4, 'kernel': 'rbf'}",7,0.21694378463974665,0.410266613609232,0.21445591739475775,0.4064362336114422,0.21850079744816586,0.3909595559080095,0.015741635899296513,7.811822329955532e-06,0.0016646909650349217,0.008346402024170743
4,0.7136047681172689,0.18420950571695963,0.2529131355932203,0.6275094970354194,0.5,rbf,"{'C': 0.5, 'kernel': 'rbf'}",6,0.25494853523357086,0.6295264623955432,0.2454328832406672,0.6142232816845451,0.2583732057416268,0.6387787470261697,0.032948542382316176,0.009821302083464968,0.005471987488138965,0.010125671384617287
5,0.7198218504587809,0.18356172243754068,0.2910487288135593,0.7490724702963734,0.6,rbf,"{'C': 0.6, 'kernel': 'rbf'}",5,0.2921615201900237,0.7493036211699164,0.2811755361397935,0.7477155343663091,0.29984051036682613,0.7501982553528945,0.060762486559806865,0.005820395958167435,0.007654130853915807,0.0010266609044414215
6,0.6861211458841959,0.17679516474405924,0.321239406779661,0.7936930586898173,0.7000000000000001,rbf,"{'C': 0.7000000000000001, 'kernel': 'rbf'}",4,0.32304038004750596,0.7942697970553124,0.3129467831612391,0.7866507747318237,0.3277511961722488,0.8001586042823157,0.010500038973287924,0.006747828640193097,0.006172159934445395,0.005529607288524918
7,0.7581905523935953,0.18955794970194498,0.3463983050847458,0.8332799174655062,0.8,rbf,"{'C': 0.8, 'kernel': 'rbf'}",3,0.34600158353127475,0.826900119379228,0.3415409054805401,0.8307508939213349,0.35167464114832536,0.8421887390959556,0.042767850733641866,0.01797008155518835,0.004143066988196074,0.006492685282988702
8,0.7418961524963379,0.18289828300476074,0.3644067796610169,0.856586979965563,0.9,rbf,"{'C': 0.9, 'kernel': 'rbf'}",2,0.3618368962787015,0.8515718265021887,0.358220810166799,0.8545887961859356,0.37320574162679426,0.8636003172085647,0.007758908274347376,0.003735848616461903,0.006378037087568526,0.005109840244157536
9,0.7629024187723795,0.18656023343404135,0.3789724576271186,0.8739386012209822,1.0,rbf,"{'C': 1.0, 'kernel': 'rbf'}",1,0.3721298495645289,0.8714683645045762,0.3733121525019857,0.875248311481923,0.3915470494417863,0.8750991276764473,0.016197705892258857,0.007929169029583556,0.008880017422313464,0.0017477826005664087
