,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.016667604446411133,0.00047137035374583886,0.0026668707529703775,0.0009427969083140529,gini,1,"{'criterion': 'gini', 'min_samples_leaf': 1}",0.46476642913697547,0.43606036536934073,0.45454545454545453,0.4518008474576271,0.011888627543812633,78,1.0,1.0,1.0,1.0,0.0
1,0.014000892639160156,0.0,0.0020001729329427085,1.1239159602905075e-07,gini,2,"{'criterion': 'gini', 'min_samples_leaf': 2}",0.4718923198733175,0.4352660841938046,0.44976076555023925,0.4523305084745763,0.015075727615995776,77,0.8714683645045762,0.8585617798967025,0.8628072957969866,0.8642791467327551,0.005370893187226428
2,0.017000913619995117,0.0021602742712654127,0.0026668707529703775,0.0009427969083140527,gini,3,"{'criterion': 'gini', 'min_samples_leaf': 3}",0.45605700712589076,0.45591739475774423,0.4585326953748006,0.4568326271186441,0.0012001452405493585,75,0.8058097890966972,0.8112832737385777,0.8065027755749405,0.8078652794700719,0.0024333887454071434
3,0.014000972112019857,0.0021603846370996526,0.002000093460083008,0.0,gini,4,"{'criterion': 'gini', 'min_samples_leaf': 4}",0.4837688044338876,0.4686258935663225,0.4944178628389155,0.4822563559322034,0.01057493840413585,71,0.7652208515718265,0.7647993643226063,0.7668517049960349,0.7656239736301559,0.0008850258396928981
4,0.013334115346272787,0.0004714827453418679,0.0016668637593587239,0.00047142655959197545,gini,5,"{'criterion': 'gini', 'min_samples_leaf': 5}",0.4806017418844022,0.4797458300238284,0.4944178628389155,0.4849046610169492,0.006717264002366833,70,0.7298050139275766,0.733015494636472,0.7434575733544806,0.7354260273061763,0.005828441503527945
5,0.01433412233988444,0.0012473411337419315,0.002000093460083008,0.0,gini,6,"{'criterion': 'gini', 'min_samples_leaf': 6}",0.4837688044338876,0.4868943606036537,0.49521531100478466,0.4886122881355932,0.004828057424293113,69,0.7087146836450458,0.7155343663090982,0.7157018239492466,0.7133169579677969,0.0032550173805682013
6,0.015001058578491211,0.0021604214264071427,0.002000093460083008,0.0,gini,7,"{'criterion': 'gini', 'min_samples_leaf': 7}",0.48693586698337293,0.48848292295472595,0.5007974481658692,0.4920550847457627,0.006196931530990199,67,0.6904098686828491,0.6952721493841876,0.6958762886597938,0.6938527689089437,0.0024469596837998673
7,0.014000813166300455,0.002944111849510809,0.002333402633666992,0.00047137035374583886,gini,8,"{'criterion': 'gini', 'min_samples_leaf': 8}",0.4948535233570863,0.4996028594122319,0.4984051036682616,0.4976165254237288,0.002018793451404336,64,0.6736967767608436,0.6781883194278904,0.6792228390166535,0.6770359784017957,0.0023986466175862737
8,0.011667331059773764,0.0009428530990877068,0.0020001729329427085,0.0008165347377806026,gini,9,"{'criterion': 'gini', 'min_samples_leaf': 9}",0.4948535233570863,0.5043685464654488,0.5079744816586922,0.5023834745762712,0.005537158977222249,62,0.6581774771189813,0.6658720699245133,0.6736716891356067,0.6659070787263671,0.006325534007296141
9,0.011000712712605795,1.1239159602905075e-07,0.0016666253407796223,0.00047142655959197545,gini,10,"{'criterion': 'gini', 'min_samples_leaf': 10}",0.5083135391923991,0.5186656076250993,0.507177033492823,0.5113877118644068,0.0051681377979609314,58,0.6498209311579786,0.6527612236789829,0.661776367961935,0.6547861742662988,0.0050864811644300125
10,0.012000719706217447,0.002160495003142758,0.002000013987223307,1.1239159602905075e-07,gini,11,"{'criterion': 'gini', 'min_samples_leaf': 11}",0.5122723673792557,0.5186656076250993,0.5127591706539075,0.5145656779661016,0.0029064654282842163,54,0.6418623159570235,0.6487882399682161,0.6538461538461539,0.6481655699237977,0.004912153711384387
11,0.01000054677327474,2.247831920581015e-07,0.002333482106526693,0.0004713141679983425,gini,12,"{'criterion': 'gini', 'min_samples_leaf': 12}",0.5146476642913698,0.5321683876092137,0.5151515151515151,0.520656779661017,0.008144150538801787,29,0.6370871468364505,0.6380611839491458,0.6439333862014275,0.6396939056623413,0.0030240241958021242
12,0.011000394821166992,0.0014144482360256038,0.0020001729329427085,1.1239159602905075e-07,gini,13,"{'criterion': 'gini', 'min_samples_leaf': 13}",0.5106888361045131,0.528196981731533,0.5159489633173844,0.5182733050847458,0.0073396227471939565,45,0.6311181854357342,0.6328963051251489,0.6363996827914353,0.6334713911174394,0.0021941735731198326
13,0.011667410532633463,0.001699627911644183,0.0016667842864990234,0.00047137035374583886,gini,14,"{'criterion': 'gini', 'min_samples_leaf': 14}",0.5138558986539984,0.5234312946783162,0.5191387559808612,0.518802966101695,0.003919913637807348,41,0.6235575009948269,0.6289233214143822,0.6312450436161776,0.6279086220084622,0.003219398396393529
14,0.012667338053385416,0.0023570765519212522,0.002333482106526693,0.00047148274534186793,gini,15,"{'criterion': 'gini', 'min_samples_leaf': 15}",0.5209817893903405,0.5123113582208102,0.5247208931419458,0.519332627118644,0.00519506618441536,38,0.6239554317548747,0.6213746523639253,0.6260904044409199,0.6238068295199066,0.0019280631699709829
15,0.010333776473999023,0.00047137039394311753,0.0020002524058024087,1.1239159602905075e-07,gini,16,"{'criterion': 'gini', 'min_samples_leaf': 16}",0.5193982581155978,0.52263701350278,0.5287081339712919,0.5235699152542372,0.0038573124892900246,15,0.6179864703541583,0.6189908621374652,0.6213322759714512,0.6194365361543582,0.0014018018890407657
16,0.01066732406616211,0.00047137035374583886,0.001333475112915039,0.00047137035374583886,gini,17,"{'criterion': 'gini', 'min_samples_leaf': 17}",0.5154394299287411,0.5258141382049245,0.5175438596491229,0.5195974576271186,0.00447986973295694,35,0.6136092319936332,0.6082638061183949,0.6173671689135607,0.6130800690085296,0.0037352209790680276
17,0.010667244593302408,0.001699627911644183,0.002333482106526693,0.0004716513427792448,gini,18,"{'criterion': 'gini', 'min_samples_leaf': 18}",0.5265241488519399,0.5274027005559968,0.5255183413078149,0.5264830508474576,0.0007691745290172433,4,0.6096299243931556,0.6066746126340882,0.612609040444092,0.6096378591571119,0.002422726505185991
18,0.010333935419718424,0.00047142655959197545,0.0020001729329427085,1.1239159602905075e-07,gini,19,"{'criterion': 'gini', 'min_samples_leaf': 19}",0.5320665083135392,0.5313741064336776,0.5159489633173844,0.5264830508474576,0.007433407976119679,4,0.6080382013529646,0.6030989272943981,0.6086439333862014,0.6065936873445213,0.0024835107784445714
19,0.009667237599690756,0.00047142655959197545,0.0016667842864990234,0.00047137035374583886,gini,20,"{'criterion': 'gini', 'min_samples_leaf': 20}",0.5312747426761678,0.5258141382049245,0.5151515151515151,0.5240995762711864,0.0066925753861369255,12,0.6032630322323915,0.6003178386968614,0.6034892942109437,0.6023567217133988,0.001444664110229611
20,0.00933400789896647,0.00047142655959197545,0.002000013987223307,1.1239159602905075e-07,gini,21,"{'criterion': 'gini', 'min_samples_leaf': 21}",0.5233570863024545,0.5250198570293884,0.5215311004784688,0.5233050847457628,0.00142352711939812,17,0.6032630322323915,0.5963448549860946,0.6003172085646312,0.5999750319277058,0.0028346790225042442
21,0.01000070571899414,0.0008166320698241736,0.002000093460083008,0.0008164374018695076,gini,22,"{'criterion': 'gini', 'min_samples_leaf': 22}",0.5233570863024545,0.5289912629070691,0.5215311004784688,0.5246292372881356,0.0031738047910704857,11,0.596100278551532,0.5943583631307111,0.5991276764472641,0.5965287727098357,0.0019704978745886566
22,0.01000070571899414,0.0,0.0016666253407796223,0.00047142655959197545,gini,23,"{'criterion': 'gini', 'min_samples_leaf': 23}",0.5233570863024545,0.5313741064336776,0.5207336523125997,0.5251588983050848,0.004524265765801133,9,0.5937126939912455,0.5903853794199444,0.5979381443298969,0.5940120725803623,0.003090661752329489
23,0.00933376948038737,0.00047142655959197545,0.0020002524058024087,1.1239159602905075e-07,gini,24,"{'criterion': 'gini', 'min_samples_leaf': 24}",0.517814726840855,0.5218427323272439,0.5223285486443381,0.520656779661017,0.002024547540513841,29,0.5869478710704338,0.5868096940802543,0.598334655035686,0.5906974067287915,0.005400644683493948
24,0.012334028879801432,0.002624701104905585,0.0020001729329427085,0.0008167294057348078,gini,25,"{'criterion': 'gini', 'min_samples_leaf': 25}",0.5217735550277118,0.5234312946783162,0.5223285486443381,0.522510593220339,0.0006894511190926334,21,0.5829685634699562,0.5864123957091776,0.598334655035686,0.5892385380716066,0.006583793384320555
